duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
0.0,tcp,pop3,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,tcp,netbios_ssn,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,rpc,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,other,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,domain,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,microsoft_ds,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,other,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1.0,1.0,0.0,0.0,0.166667,0.833333,0.0,6,1,0.166667,0.833333,1.0,0.0,1.0,1.0,0.0,0.0
0.0,tcp,imaps,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,ssh,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,http_alt,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,tcp,http_alt,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1.0,1.0,0.0,0.0,0.1,0.9,0.0,10,1,0.1,0.9,0.0,0.0,1.0,1.0,0.0,0.0
0.0,tcp,ssh,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1.0,1.0,0.0,0.0,0.090909,0.909091,0.0,11,1,0.090909,0.909091,0.090909,0.0,1.0,1.0,0.0,0.0
0.0,tcp,imaps,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1.0,1.0,0.0,0.0,0.083333,0.916667,0.0,12,1,0.083333,0.916667,0.166667,0.0,1.0,1.0,0.0,0.0
0.0,tcp,other,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1.0,1.0,0.0,0.0,0.153846,0.846154,0.0,13,2,0.153846,0.846154,0.230769,0.0,1.0,1.0,0.0,0.0
0.0,tcp,microsoft_ds,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1.0,1.0,0.0,0.0,0.071429,0.928571,0.0,14,1,0.071429,0.928571,0.285714,0.0,1.0,1.0,0.0,0.0
0.0,tcp,domain,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1.0,1.0,0.0,0.0,0.066667,0.933333,0.0,15,1,0.066667,0.933333,0.333333,0.0,1.0,1.0,0.0,0.0
0.0,tcp,other,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,1.0,1.0,0.0,0.0,0.1875,0.8125,0.0,16,3,0.1875,0.8125,0.375,0.0,1.0,1.0,0.0,0.0
0.0,tcp,rpc,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1.0,1.0,0.0,0.0,0.058824,0.941176,0.0,17,1,0.058824,0.941176,0.411765,0.0,1.0,1.0,0.0,0.0
0.0,tcp,netbios_ssn,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1.0,1.0,0.0,0.0,0.055556,0.944444,0.0,18,1,0.055556,0.944444,0.444444,0.0,1.0,1.0,0.0,0.0
0.0,tcp,pop3,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1.0,1.0,0.0,0.0,0.052632,0.947368,0.0,19,1,0.052632,0.947368,0.473684,0.0,1.0,1.0,0.0,0.0
0.0,tcp,smtp,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20,0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0
0.0,tcp,rdp,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21,0,0.0,1.0,0.52381,0.0,1.0,0.0,0.0,0.0
0.0,tcp,https,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22,0,0.0,1.0,0.545455,0.0,1.0,0.0,0.0,0.0
0.0,tcp,mysql,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23,0,0.0,1.0,0.565217,0.0,1.0,0.0,0.0,0.0
0.0,tcp,telnet,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24,0,0.0,1.0,0.583333,0.0,1.0,0.0,0.0,0.0
0.0,tcp,msrpc,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0,0.0,1.0,0.6,0.0,1.0,0.0,0.0,0.0
0.0,tcp,other,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,1.0,1.0,0.0,0.0,0.153846,0.846154,0.0,26,4,0.153846,0.846154,0.615385,0.0,1.0,1.0,0.0,0.0
0.0,tcp,other,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,1.0,1.0,0.0,0.0,0.185185,0.814815,0.0,27,5,0.185185,0.814815,0.62963,0.0,1.0,1.0,0.0,0.0
0.0,tcp,ftp,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28,0,0.0,1.0,0.642857,0.0,1.0,0.0,0.0,0.0
0.0,tcp,other,S0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,1.0,1.0,0.0,0.0,0.206897,0.793103,0.0,29,6,0.206897,0.793103,0.655172,0.0,1.0,1.0,0.0,0.0
